Review Text,Rating,Sentiment
sir okay armygreen shorts nice,5,POSITIVE
di pareha yong mga size nila may sobrang liit akjejrjrjjfjjriro4k4jrjrjfjrjrjrjrjjtjrj,5,POSITIVE
super worth it ang ganda Sombra grabi order na kayo di kayo magsisisisis sobranh ganda order ulit ako at ang bilis dumating,5,POSITIVE
ganda po salamat,5,POSITIVE
maayos pagkadeliver maganda den sya,5,POSITIVE
ang gnda nang short nagustohan nang binigyan ko salamat din sa delivery guy ang bait Niya Thank you po kuya,4,POSITIVE
maganda sya medyo manipis nga lang ..,4,POSITIVE
,4,POSITIVE
"manipis pla at ska dami himulmol ng sinulid, di maganda ang tahi.. di nko uulit s inyo... s madaling salita PANGET NG GAWA",2,NEGATIVE
madali maponit,2,NEGATIVE
Unsatisfied. Poor quality. easily torn.,1,NEGATIVE
Thank You ang Ganda niyaUmorder ulit ako ng 50pcs sana my free na kahit 3 pcs hehehe,5,POSITIVE
Good quality at maayos naman ang pagkakabalot. thank you seller.,5,POSITIVE
ganda niyatry lang oorder ulit. kala ko malapad Hindi pala. pero ang ganda Saka madikit,5,POSITIVE
GandaGanda GandagandaGandaGanda GandaGandaGanda,5,POSITIVE
ang ganda superrrrr...makapit pa sa dingding kahit pa rough ang dingding...thanks seller at sa mamang nag deliver..order ulit aq,5,POSITIVE
Ok naman yung bricks diko inexpect na malaki kase mura lang and manipis pala sya di parehas pag sa store ka talaga bumili. pero ok na sya for the price mura lang naman eh nakuha ko lang sya ng 216pesos 20pcs na,4,POSITIVE
I love the color.. I like it so much.. kaso sobrang tagal ng delivery .. umabot ng.3days bago dumating yung order ko bago nadeliver,4,POSITIVE
Satisfied,4,POSITIVE
nice cute satisfied,4,POSITIVE
Maganda yung quality nya. Waterproof,4,POSITIVE
Halatang ginupit ang mga brick wall nakaka dismaya wag kayo omorder jan,1,NEGATIVE
I'm sorry but I expect its like what I bought at the mall last week regarding the size... Masyado po palang maliit lang.. May ganun pala na size? Di ko gusto ang size poh.. Subra liit niya,2,NEGATIVE
mint green order q dumatng light green...makaiba 2loy ang qlay....ok na rin hassle kc magbalik...manipis lng xa pero madikit...sad pti ung pink light ang ibngy,2,NEGATIVE
12pcs order Ang binigay 3pcs Ang mahal na ng shipping Ang mahal pa pala Neto 60 Isa pala! kaloka!,1,NEGATIVE
Wala Naman pong problema maganda Naman po,1,NEGATIVE
12pcs order Ang binigay 3pcs Ang mahal na ng shiffing Ang mahal pa pala Neto 60 Isa pala! kaloka!,1,NEGATIVE
baka gusto ninyo makatikim ng mura sa panloloko ninyo? post ninyo na size iba sa actual size nq dumating.,1,NEGATIVE
Thank u seller..I recvd the items in gud condition.. Npakganda ng product na 2 nkakasosyal ng bedroom nmin..love it so much,1,NEGATIVE
sobrang sulit sa presyo nya na 30gb na no expiration. wala pangamba maubusan ng data lagi ka updated sa mga social message kapag nasa byahe. pang 2nd order ko na ito. salamat sa GOMO Sim,5,POSITIVE
tested for my piso wifi... and it's working... I got 15 - 20 mbps download speed and a upload speed of 5 - 15 mbps... hope there's always unli on this promo...,5,POSITIVE
"ok naman, mdyo yupi lang yung packaging.. pero oks lang mhlga is andun yung sim at data..di ko nabubuksan kc pang benta ko.. tnx sa rider..",5,POSITIVE
"received na nko ang parcel.. ang rider ky vrry good pd, maikog ko ky ghatod gjd gihapon nja maski sgeg uwan.uwan. Thankyou kuya rider and lazadaaaaa",5,POSITIVE
sulit pera niyo dito,5,POSITIVE
Video and photo not related i just received the item and working thank u gomo and lazada delivery fast then,5,POSITIVE
"We don't stop. We GOMO! The game-changer has finally arrived. Convert your data into calls and texts. Order your SIM today. No Expiry Data. 5G and LTE Ready. Free Delivery. Highlights: Free Delivery Available, App Available",4,POSITIVE
"Better than Dito but still inferior to Smart in my current area. Yet to check the signal outside Manila. Shipping/packing/handling could've been better as seen on the sim housing. I noticed na kapag naka Wi-Fi, malakas ang signal but as soon as the data is turned on, signal deteriorates.",4,POSITIVE
"He was also a man who was as well known for the three-thousand-dollar Italian suits which draped his well-fed frame as for his remarkable string of legal victories. I simply stood there, paralyzed by the shock of what I had just witnessed. thanks for letting me know and internet connection ko yung i please thank you for internet call please call back at work and check your internet conducting.",4,POSITIVE
Maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda,5,POSITIVE
cute po sya,5,POSITIVE
mmmmmmm;mmggggggggggggaaaaaannnnnnnnnddddddddddaaaaaaaaqa sssssssssssssssyyyyyyyyyyyyyyyyyaaaaaaaa fffaaaast cccchaaarrggggggiiiiiiinnnnnnnnngggggggggggggggvg,5,POSITIVE
"Gumagana sya and fast charging din, hopefully pang matagalan",5,POSITIVE
Ang ganda ng product nato fast delivery pa tapos ang bait pa ni courier at delivery man si seller naman is napaka acomodating,5,POSITIVE
good morning,4,POSITIVE
nice quality and fast charger. its very cheap price but im little dissapoint. no box only charger in plastic. anyway tnx seller,4,POSITIVE
not related po..pasensya na..ok naman yung charger working pareho ang concern ko lang e madaling mag init..sana magtagal..,4,POSITIVE
"Good quality! Ganda ng charger, tsaka yung earphones malakas siya kaso mahina ata yung mismong mouthpiece ganon. Btw, thank u seller",4,POSITIVE
bat Ganon Po sya ibang iba sa picture na packaging Yung item tas nong tinary kopo sya okay namn nong una pero nong tumagal Po nag loloko nasya ng s-stop mag charge at hingit sa lahat Yung nag delivery Po kanina dna binalik Yung sukli,2,NEGATIVE
di po sya gumagana. sayang lang pera,1,NEGATIVE
"I don't recommend this item guys, as you can see hindi si'ya compatible sa android phones ko. I'm so dissapointed, don't waist your money.",1,NEGATIVE
"ang pangit nmn ng packing nio ,bkit ung una qng order sainyo ang ganda may lalagyan bakit ,Kung keln nmn dumami ung order q ska nmn ganito , Plastic nlng ang lalagyan..kaasar nmn",1,NEGATIVE
Maganda siya fast charger tlg,1,NEGATIVE
thanx kaojcjwjxksosjcbcnjdjdjsnjsjsjjxnnfnnfnfkdjjsjjsnsnsnjsjjdjjfjfnnfjjfjfjj,5,POSITIVE
"grabe sobrang maganda yung product at tsaka pagkabalot, what you see is what you get talaga. madali syang iadjust at yung para sa back ng cellphone ay designed sya para hindi madaling mahulog. I've always wanted this masakit kasi yung neck ko kakatingin sa ibaba. Thank you!",5,POSITIVE
thank you lazada...thank you seller at kay kuyang rider..maganda nman hindi na lagi hawak ang tablet kapag nood ng mga anik anik na youtube.,5,POSITIVE
agus na ayus nagamit na matibay. hindi mangangalalay sa kamay kakapanood ng series hehe. thank you seller. will buy again...,5,POSITIVE
Thank you seller tama po ang color n delivery,5,POSITIVE
it's nice!,4,POSITIVE
"ok naman yung product. pangit lang packaging as in walang bubble wrap, nilagay lang yung 3 boxes sa plastic ng lazada. kaya ayun yupi yupi yung mga boxes, buti di na damage mga holders.",4,POSITIVE
"I ordered 1 black and 1 green, I received 2 greens",4,POSITIVE
goods naman quality mukhang matibay kaso minsan nahuhulog phone pag nakatayo okay nadin 3 lang order ko dumating apat so thank you po,4,POSITIVE
Ok lng for the price kasi mura sya Adjustable din Useful nman for cellphone stand. Convenient to useFast delivery and well packed ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â°ÃƒÆ’Ã¢â‚¬Â¦Ãƒâ€šÃ‚Â¸ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â»  Recommend for not picky person,4,POSITIVE
"i'm quite dissapointed po coz i have ordered black pro dumating po mint green, what's the purpose of giving options to your customer if you don't follow it. Hoping that this will be address so that this will not happen again.",2,NEGATIVE
Wrong color. Oks lang yupi box pero wrong color. Fast ship tho,2,NEGATIVE
"i want refund., 5pcs order ko., tas 3pcs lang darating., nasan na yung 2pcs pa., nonsense pa yung return refund policy ng lazada., magkano lang gusto niyo irefund 14p.,",1,NEGATIVE
may order is black,1,NEGATIVE
"I just received my order. I'm so disappointed. The box is already opened, crumpled and the item is with scratches. I think this is a returned item.",1,NEGATIVE
item was damaged,1,NEGATIVE
Tnx seller sana matagal ito masira.... Ay nako sira na kasi ang isa paano to... Hindi worth it pala ito...,1,NEGATIVE
"wow! I like that it's working, really served it's purpose, great quality, correct order, well-packed and with good deal price. thank you!",5,POSITIVE
oppo gamit q ok sha pwede sha sa oppo at Samsung Ganda den ng kulay ng order q ligth pink ligth blue and white super qt ya ty seller and kuya rider,5,POSITIVE
maganda po siya at maayos po noong pag deliver dito maayos po ang ganda po,5,POSITIVE
sobrang satisfied Po hahaha fast charger KC to ilang beses na naka try wortit po .. happy buyer,5,POSITIVE
okay naman siya ang gamda ang ganda hopefully magtagal tnx sa seller at sa delivery na taga sa amin din..,5,POSITIVE
"Okay naman siya. Mabilis ang delivery. Maganda yung color nya. Kaso for me hndi sya fast charging, same lang dun sa old cord ng charger ko. Tsaka nag slow charging yung phone ko nung ginamit ko. Once pa lang naman. di ko lang alam sa mga susunod na gamit ko pa. Anyway, Thank you seller and lazada.",4,POSITIVE
binili ko to nung October 28 tas dumating sa akin ngayong October 29. Yung packaging? dapat po binububble wrap nyo po para secure lang sila sa isang lugar Gumagana ba? Oo pero mabilis uminit yung cord. Pag magchacharge ka ng 25 minutes iinit na agad yung core. Overall? 4 stars,4,POSITIVE
all charging cables work's just fine,4,POSITIVE
ok nman yung item.. ngagamit n nmin ngayon... sana lang mafragal.. kaya lang puro tatlong pink binigay myo eh.. ano b yun.. di n nasunod yung gusto ko n kulay.. kaya 4 star lang bibigay ko.....,4,POSITIVE
"Same issue as others. 2 violet at 1 blue, I received 3 blue. Nag communicate naman ako to avoid this problem maiintindihan nman kung hindi available para hindi nkaka disappoint pagdating ng items. Pls. do chat nman kung wala ung napili naming color/s alagaan nyo ang buyers kse paulit ulit kaming oorder kung excellent ang seller. We value the sellers asmuch as we hope you value us. Update: Without being told, nagsend si seller ng 1 pc. vilolet cord, very much appreciated. Thank you.",4,POSITIVE
Ok naman. Kaso ilang araw lang na gamit bumabagal na ang pagcharge.,2,NEGATIVE
"My item just arrived, wrong color ung isa light blue ung pinili ko na slightly mas mataas na presyo pero ung binigay sakin white. Yun ang gusto kong kulay kaya kahit hindi pareho ng presyo ng iba keri lang tas sila lang din pala ang masusunod, kainis lang... hindi ko pa na test pero tiwala naman ako na gumagana to... Pang reserba ko muna just incase hindi na gumana ung current cable ko...",2,NEGATIVE
pag dating ng package binayaran naman namen yung package and yung shipping fee pero bat walang laman wala yung item sa loob pa refund po,2,NEGATIVE
sobra pala ang iksi nito..... less than 1 meter .... haiissst.... mura lang kasi.... kung bakit kasi walang nakalagay sa description kung ano ang TOTOONG length nito,2,NEGATIVE
maganda Sana yung charger Pero sa una lang sya..ang tagal mapuno CP ko tapos mabilis din masira Kaloka..,1,NEGATIVE
"at furst naimutan kong kasama pla ito sa order ko..hihihi..anyways okay naman yung cords however, di ganun kaayos..kasi ngayong nakalipas ng ilang weeks ng paggamit namin ay di na nagchacharge ng maayos..cturer na itong concern...",1,NEGATIVE
