Review Text,Rating,Sentiment
"Ang galing, super worth it!",5,POSITIVE
"Pangit talaga, kulang sa quality.",2,NEGATIVE
"Sobrang pangit, sayang pera.",1,NEGATIVE
Ok naman yung bricks diko inexpect na malaki kase mura lang and manipis pala sya di parehas pag sa store ka talaga bumili. pero ok na sya for the price mura lang naman eh nakuha ko lang sya ng 216pesos 20pcs na,4,POSITIVE
Worst quality imaginable,1,NEGATIVE
"Poor, many defects.",2,NEGATIVE
"Outstanding, will order again!",5,POSITIVE
"Pwede na, average lang.",3,NEUTRAL
"I already used poco f1 from my friend and oppo a5 2020 mine and still both devices won't detect from the adapter but kudos to the seller for the service that I got my refund and thank you so much, I will wait for the stocks to be available I hope I get a working one.",4,POSITIVE
Acceptable.,3,NEUTRAL
Nice appearance but several defects,2,NEGATIVE
Poor quality! Pangit!,1,NEGATIVE
Pangit! Hindi recommended.,2,NEGATIVE
"Pangit ang quality, bad purchase.",1,NEGATIVE
"Perpekto, walang kapintasan.",4,POSITIVE
"Okay lang, standard quality.",3,NEUTRAL
Sobrang sulit! Highly recommended!,4,POSITIVE
"Sobrang ayos, solid!",5,POSITIVE
"Poor quality, disappointed.",2,NEGATIVE
"Bad, waste of money.",2,NEGATIVE
"Napakaganda, satisfied ako.",4,POSITIVE
"Ang ganda, best purchase!",4,POSITIVE
"Okay, normal quality.",3,NEUTRAL
"Perpekto, walang kapintasan.",4,POSITIVE
"Basura, waste of money.",2,NEGATIVE
Fair enough for the price.,3,NEUTRAL
"Gstong-gusto ko itong eyebrow pencil ng Sace Lady, lalo na ng shade nila na brown-black. Bagay lang sya sa morenang tulad ko. Everyday use ko na sya. Thanks ang bilis ng delivery. ",5,POSITIVE
"Outstanding, will order again!",5,POSITIVE
"Perfect, thank you seller!",4,POSITIVE
I like it,4,POSITIVE
"Amazing, will recommend to friends!",5,POSITIVE
Poor quality! Pangit!,2,NEGATIVE
"Poor quality, disappointed.",1,NEGATIVE
"Hindi maganda, very disappointed!",2,NEGATIVE
Ang ganda! Exceeded expectations!,4,POSITIVE
Hindi worth it.,2,NEGATIVE
"Ang galing, super worth it!",5,POSITIVE
Excellent! Very satisfied.,4,POSITIVE
"Great value, highly satisfied!",4,POSITIVE
NAPAKA GANDA TALAGA NG PRODUCT NA ITO KASE WALA KA KANG MAKITANG MALE KASE ALMOST PERFECTLY NA SYA.,5,POSITIVE
"Normal, no issues.",3,NEUTRAL
"Hindi pangit, hindi rin maganda.",3,NEUTRAL
Sulit na sulit! Great quality!,5,POSITIVE
"Wonderful experience, perfect condition",5,POSITIVE
"Basura, waste of money.",2,NEGATIVE
Pangit talaga! Disappointing!,1,NEGATIVE
"Sobrang ayos, solid!",5,POSITIVE
Pangit! Hindi recommended.,1,NEGATIVE
"Not recommended, low quality",2,NEGATIVE
"Awful, poor quality.",2,NEGATIVE
"Disappointing, not worth it.",1,NEGATIVE
Bad quality! Sayang pera!,1,NEGATIVE
"Nakakapangit, sayang.",2,NEGATIVE
"Bad, don't buy this.",2,NEGATIVE
"Acceptable, no complaints.",3,NEUTRAL
"Basura, waste of money.",1,NEGATIVE
Pangit ng kalidad.,1,NEGATIVE
maganda suotin sakto lang sakin worth it ang gastos HAHAHA.,5,POSITIVE
"Perfect, no issues at all.",5,POSITIVE
Pangit ng kalidad.,1,NEGATIVE
"Sobrang ganda, uulitin ko pa.",4,POSITIVE
"Great value, highly satisfied!",4,POSITIVE
Pangit ng kalidad.,1,NEGATIVE
"Pwede na rin, fair enough.",3,NEUTRAL
Terrible! Pangit talaga!,1,NEGATIVE
"Nakakapangit, sayang.",1,NEGATIVE
Sobrang bad! Not satisfied!,2,NEGATIVE
It's okay.,3,NEUTRAL
"Amazing, will recommend to friends!",5,POSITIVE
Pwede na.,3,NEUTRAL
"Sakto lang, not bad naman.",3,NEUTRAL
"Average, acceptable naman.",3,NEUTRAL
Normal quality.,3,NEUTRAL
"Perpekto, walang kapintasan.",5,POSITIVE
"Napakasama, hindi ko recommend.",1,NEGATIVE
Ganda ng quality! Excellent!,4,POSITIVE
"Pangit ang quality, bad purchase.",1,NEGATIVE
Excellent! Sulit na sulit!,4,POSITIVE
Okay lang naman.,3,NEUTRAL
"Poor, very disappointing.",2,NEGATIVE
"Napakasama, hindi ko recommend.",1,NEGATIVE
Hindi maganda experience ko,2,NEGATIVE
Hindi masyadong special.,3,NEUTRAL
"Horrible, not recommended.",2,NEGATIVE
"Normal lang, okay na rin.",3,NEUTRAL
Pedestrian quality nothing special,3,NEUTRAL
It's alright.,3,NEUTRAL
Poor performance bad features not recommended,1,NEGATIVE
"Amazing, will recommend to friends!",5,POSITIVE
"Sobrang sulit, 5 stars!",5,POSITIVE
It is not the best option available,3,NEUTRAL
"Okay naman, walang problema.",3,NEUTRAL
Ang galing! Best purchase ever!,4,POSITIVE
Good condition pero may little damage sa edge,4,POSITIVE
Solid! Highly satisfied!,5,POSITIVE
"Normal lang, okay na rin.",3,NEUTRAL
"Maganda ang kalidad, highly recommended!",5,POSITIVE
"It's okay, works fine.",3,NEUTRAL
"Hindi maganda, very disappointed!",1,NEGATIVE
kulang ang item na binigay ng seller. wala ung maskera nia at foam kulang din. no time to return karma na lng sa seller na yan. ang panget mong mag benta ng item kulang kulang. ,1,NEGATIVE
"Maganda, very satisfied ako!",5,POSITIVE
"Poor, many defects.",1,NEGATIVE
"Maganda ang kalidad, highly recommended!",5,POSITIVE
Fair enough for the price.,3,NEUTRAL
"Fair enough, pwede na for the price",3,NEUTRAL
Okay lang naman.,3,NEUTRAL
Sakto lang.,3,NEUTRAL
"Ang ganda, best purchase!",4,POSITIVE
"Normal, no issues.",3,NEUTRAL
Sulit na sulit! Great quality!,4,POSITIVE
"Napakasama, hindi ko recommend.",2,NEGATIVE
"Normal lang, okay na rin.",3,NEUTRAL
Fair enough for the price.,3,NEUTRAL
Ayos lang.,3,NEUTRAL
"Maganda, very satisfied ako!",5,POSITIVE
Perfect! Fast shipping pa!,5,POSITIVE
"Pwede na rin, fair enough.",3,NEUTRAL
"Perpekto, walang kapintasan.",5,POSITIVE
Solid! Highly satisfied!,5,POSITIVE
Pangit! Hindi recommended.,1,NEGATIVE
Normal lang.,3,NEUTRAL
"Great value, highly satisfied!",5,POSITIVE
"Poor, many defects.",2,NEGATIVE
It's alright.,3,NEUTRAL
"Great item, minor assembly difficulty encountered",4,POSITIVE
"Maganda ang kalidad, highly recommended!",5,POSITIVE
Pangit ng kalidad.,1,NEGATIVE
Perfect! Thank you seller!,4,POSITIVE
"Decent, not bad.",3,NEUTRAL
Disappointing! Hindi recommended!,2,NEGATIVE
Amazing! Will order again!,5,POSITIVE
"Beautiful, love it so much!",5,POSITIVE
"Maganda sya, ang hindi kolang inexpect is yung length nya. I think sa may ankle talaga yung cut nya. Considering na naka high cut shoes yung model sa page. Shipping is fast, di ko inexpect na ang aga dumating.",5,POSITIVE
"Decent, not bad.",3,NEUTRAL
"Fair, pwede na.",3,NEUTRAL
"Okay naman, pwede na for the price.",3,NEUTRAL
"Acceptable, no complaints.",3,NEUTRAL
"Perfect, no issues at all.",4,POSITIVE
poiuytrewq,3,NEUTRAL
qwertyuiop,3,NEUTRAL
"Great value, highly satisfied!",5,POSITIVE
"Ayos lang, average naman.",3,NEUTRAL
Ang ganda! Exceeded expectations!,5,POSITIVE
poooooooooorrrrrrrr poor,1,NEGATIVE
"Awful, poor quality.",2,NEGATIVE
Terrible! Not recommended.,1,NEGATIVE
Solid! Highly satisfied!,4,POSITIVE
you are idiot,1,NEGATIVE
"Hindi pangit, hindi rin maganda.",3,NEUTRAL
DO NOT BUY THIS CRAP! MANIPIS SA ACTUAL. THIS IS A FALSE ADVERTISEMENT,1,NEGATIVE
"Average build, acceptable for price",3,NEUTRAL
"Okay naman, pwede na for the price.",3,NEUTRAL
"Size is too small. Seems sizing of Organics is really not consistent. May inorder ako Medium and Large shirts, mas malaki pa ung medium s large. ",4,POSITIVE
"Poor quality, disappointed.",2,NEGATIVE
Terrible! Not recommended.,2,NEGATIVE
"Normal, no issues.",3,NEUTRAL
Poor quality! Pangit!,1,NEGATIVE
"Phenomenal purchase, best decision ever",5,POSITIVE
Ang galing! Best purchase ever!,4,POSITIVE
"Bad, waste of money.",2,NEGATIVE
"Great, highly recommend this!",4,POSITIVE
"Awful quality, very bad.",1,NEGATIVE
Napakaganda ng quality.,4,POSITIVE
"Terrible quality, not good.",2,NEGATIVE
"Decent quality, minor issue but manageable",4,POSITIVE
"Poor quality, disappointed.",1,NEGATIVE
"It's okay, works fine.",3,NEUTRAL
Terrible! Pangit talaga!,2,NEGATIVE
"Sobrang ayos, solid!",4,POSITIVE
Sobrang ganda! Highly recommended!,4,POSITIVE
"Maganda ang kalidad, highly recommended!",4,POSITIVE
"Superb product, exceeded my expectations completely",5,POSITIVE
"It's okay, works fine.",3,NEUTRAL
Disappointing purchase overall,2,NEGATIVE
"Ang ganda, worth it talaga!",4,POSITIVE
"Good overall, small flaw pero acceptable",4,POSITIVE
"Nabili ko sobrang mura, pero sobrang manipis din.. Kaya pala ganun ang presyo nya, pero anyway pwd na pagtyagaan.. ",3,NEUTRAL
"Items received,. Well packed and naka bubble wrapped,. Napa responsive pa ng seller,. Thank you po. God bless and more sales to come. ",4,POSITIVE
"Amazing, worth every peso!",4,POSITIVE
"Pangit talaga, kulang sa quality.",1,NEGATIVE
Hindi worth it! Very bad!,1,NEGATIVE
Ang ganda! Exceeded expectations!,4,POSITIVE
"Perfect, fast delivery too!",4,POSITIVE
Pangit talaga! Disappointing!,2,NEGATIVE
"Sakto lang, decent quality.",3,NEUTRAL
Disappointing! Hindi recommended!,1,NEGATIVE
Excellent! Sulit na sulit!,5,POSITIVE
"Hindi maganda, disappointing.",1,NEGATIVE
Average quality.,3,NEUTRAL
"Fair for the price, mediocre performance overall",3,NEUTRAL
"Awful quality, very bad.",1,NEGATIVE
Sobrang ganda! Highly recommended!,5,POSITIVE
"Sakto lang, pwede na.",3,NEUTRAL
"Sakto lang, not bad naman.",3,NEUTRAL
It's okay.,3,NEUTRAL
Ang ayos! Very happy!,5,POSITIVE
"Average, as expected.",3,NEUTRAL
"Ang ganda, worth it talaga!",4,POSITIVE
"Disappointing, low quality.",1,NEGATIVE
Poor quality! Pangit!,1,NEGATIVE
Terrible! Not recommended.,1,NEGATIVE
Sakto lang sa presyo.,3,NEUTRAL
"Sobrang ayos, solid!",4,POSITIVE
"Fair, worth the price.",3,NEUTRAL
"Average lang, but okay na rin.",3,NEUTRAL
"Okay, nothing extraordinary.",3,NEUTRAL
"Average, nothing special.",3,NEUTRAL
"Okay lang, standard quality.",3,NEUTRAL
Pangit ng quality! Waste of money!,2,NEGATIVE
"super liet prang hinde sya XL, prang medium lang.",1,NEGATIVE
"Average, acceptable naman.",3,NEUTRAL
"Basura, waste of money.",1,NEGATIVE
"Sobrang ayos, solid!",4,POSITIVE
"Acceptable, no complaints.",3,NEUTRAL
"Fantastic, very happy with it!",5,POSITIVE
"Amazing, will recommend to friends!",5,POSITIVE
999999,3,NEUTRAL
the first earphone is both side working but the second earphone the left earbif it is dedz so i only giving this 4 star also pls the packaging wrap it with bubble wraps so this wont happen again but thank you for your item and hope this will be a lesson (advance Merry Christmas),4,POSITIVE
Pangit! Hindi recommended.,1,NEGATIVE
"Disappointing, pangit talaga.",2,NEGATIVE
"Bad, waste of money.",2,NEGATIVE
"Okay, normal quality.",3,NEUTRAL
abcdefgh,3,NEUTRAL
"Okay naman, pwede na.",3,NEUTRAL
Pangit! Very disappointing!,1,NEGATIVE
Okay lang naman.,3,NEUTRAL
"Disappointing purchase, low quality",2,NEGATIVE
Excellent! Sulit na sulit!,5,POSITIVE
"Ang ganda, worth it talaga!",4,POSITIVE
Disappointing talaga! Pangit!,1,NEGATIVE
Okay naman typical product,3,NEUTRAL
may butas sa tagiliran yung isang damit. ,2,NEGATIVE
"Good purchase, took longer time to arrive",4,POSITIVE
"Poor quality, disappointed.",2,NEGATIVE
"Maganda ang kalidad, highly recommended!",5,POSITIVE
It's okay.,3,NEUTRAL
Disappointing! Hindi recommended!,1,NEGATIVE
"Poor quality, disappointed.",2,NEGATIVE
"Pangit talaga, kulang sa quality.",1,NEGATIVE
sira pinadala skin ni seller palibhasa sale ko nabili.hussle kung ibblik ko pa.sorry pero honest lang ako,1,NEGATIVE
Okay lang naman.,3,NEUTRAL
"Ang galing, super worth it!",4,POSITIVE
Sobrang ganda! Highly recommended!,5,POSITIVE
"Pangit talaga, kulang sa quality.",2,NEGATIVE
"Fantastic, very happy with it!",5,POSITIVE
"Fair, pwede na.",3,NEUTRAL
"Napakasama, hindi ko recommend.",2,NEGATIVE
"Amazing, worth every peso!",5,POSITIVE
"Hindi pangit, hindi rin maganda.",3,NEUTRAL
"Average, as expected.",3,NEUTRAL
"Normal lang, okay na rin.",3,NEUTRAL
Amazing! Will order again!,4,POSITIVE
"Perfect, no issues at all.",4,POSITIVE
"Awful quality, very bad.",2,NEGATIVE
Napakaganda ng quality.,5,POSITIVE
Terrible! Pangit talaga!,2,NEGATIVE
"Ang ganda, best purchase!",5,POSITIVE
"Pwede na, average lang.",3,NEUTRAL
Sobrang pangit! Not worth it!,2,NEGATIVE
Acceptable.,3,NEUTRAL
ankapal ng tila at 100 percent cotton oorder pa nga ako ulit nice talaga,5,POSITIVE
"Okay lang naman, nothing special.",3,NEUTRAL
Hindi worth it.,2,NEGATIVE
"Poor, many defects.",2,NEGATIVE
Mabilis malowbat at hindi rin sya ganun kalakas pero maganda ang quality ng speaker hindi sabog ang tunog nya.,3,NEUTRAL
"Poor, very disappointing.",2,NEGATIVE
"Okay, normal quality.",3,NEUTRAL
"Fantastic, very happy with it!",5,POSITIVE
Outstanding pero may very minor scratch pero still great,5,POSITIVE
"Sakto lang, not bad naman.",3,NEUTRAL
Moderate quality.,3,NEUTRAL
Hindi masama.,3,NEUTRAL
"Sakto lang, decent quality.",3,NEUTRAL
"Perfect, thank you seller!",5,POSITIVE
"solid po,saktong po sakin and ang kapal po ng tela oorder po ako uli",5,POSITIVE
"Terrible, waste of money.",1,NEGATIVE
"Napakaganda, satisfied ako.",5,POSITIVE
"Perpekto, walang kapintasan.",5,POSITIVE
"Outstanding, will order again!",4,POSITIVE
Sakto lang.,3,NEUTRAL
"Maganda talaga, perfect!",4,POSITIVE
thank you very much! just recieved and its 10/10,5,POSITIVE
"Great value, highly satisfied!",5,POSITIVE
"Perpekto, walang kapintasan.",5,POSITIVE
Moderate quality.,3,NEUTRAL
"Sobrang ganda, uulitin ko pa.",5,POSITIVE
"Okay lang naman, nothing special.",3,NEUTRAL
Sobrang pangit! Not worth it!,1,NEGATIVE
"Impressive, 5 stars!",5,POSITIVE
Pwede na rin.,3,NEUTRAL
"Decent, not bad.",3,NEUTRAL
"Okay, nothing extraordinary.",3,NEUTRAL
"Pwede na rin, fair enough.",3,NEUTRAL
"Okay, nothing extraordinary.",3,NEUTRAL
boss pwede ba marefund sobrang liit ng sizing,1,NEGATIVE
"Sobrang ayos, solid!",5,POSITIVE
"Okay, nothing extraordinary.",3,NEUTRAL
"Maganda, very satisfied ako!",5,POSITIVE
Acceptable.,3,NEUTRAL
"Horrible, not recommended.",1,NEGATIVE
It's okay.,3,NEUTRAL
"Impressive, 5 stars!",4,POSITIVE
"Wonderful product, great value",5,POSITIVE
Pwede na.,3,NEUTRAL
Hindi masyadong special.,3,NEUTRAL
Pangit! Very disappointing!,1,NEGATIVE
"Bad, waste of money.",2,NEGATIVE
Hindi masama.,3,NEUTRAL
Terrible! Not recommended.,1,NEGATIVE
Pangit! Very disappointing!,2,NEGATIVE
"Sakto lang, pwede na.",3,NEUTRAL
Ang ganda! Exceeded expectations!,4,POSITIVE
"Moderate satisfaction, could be better or worse",3,NEUTRAL
"Average, acceptable naman.",3,NEUTRAL
"Bad, waste of money.",2,NEGATIVE
Excellent! Very satisfied.,5,POSITIVE
"Horrible, not recommended.",2,NEGATIVE
"Fair, pwede na.",3,NEUTRAL
"Sobrang pangit, sayang pera.",2,NEGATIVE
ok nmn sya kaso pangit lang yng pagkaka dark grey nyapara lang syang brown ang layo sa pagka dark grey tsk So very dissapointed,4,POSITIVE
"Average lang, but okay na rin.",3,NEUTRAL
Ang ayos! Very happy!,5,POSITIVE
"Good overall, slight size difference noted",4,POSITIVE
"Outstanding, best seller!",4,POSITIVE
"Poor quality, disappointed.",1,NEGATIVE
Disappointing talaga! Pangit!,2,NEGATIVE
"Napakahusay, salamat seller!",4,POSITIVE
"Superb craftsmanship, highly satisfied with purchase",5,POSITIVE
"Poor quality, disappointed.",1,NEGATIVE
Pangit! Hindi recommended.,1,NEGATIVE
Solid! Highly satisfied!,4,POSITIVE
Okay lang naman.,3,NEUTRAL
"Fantastic, very happy with it!",5,POSITIVE
"Okay lang, walang problema.",3,NEUTRAL
"Ang galing, super worth it!",4,POSITIVE
"Wonderful, great quality!",4,POSITIVE
"Awful quality, very bad.",2,NEGATIVE
987654321,3,NEUTRAL
"Basura, waste of money.",1,NEGATIVE
Sobrang pangit! Not worth it!,1,NEGATIVE
Bad purchase! Sayang!,1,NEGATIVE
Low quality not recommended,2,NEGATIVE
Average lang.,3,NEUTRAL
sobrang sulit sa presyo nya na 30gb na no expiration. wala pangamba maubusan ng data lagi ka updated sa mga social message kapag nasa byahe. pang 2nd order ko na ito. salamat sa GOMO Sim,5,POSITIVE
"Standard, meets expectations.",3,NEUTRAL
"Disappointing, pangit talaga.",2,NEGATIVE
"Not satisfied, below expectations",2,NEGATIVE
"Perfect, no issues at all.",5,POSITIVE
"Fair enough, sakto lang.",3,NEUTRAL
"Sobrang ayos, solid!",5,POSITIVE
"Poor, very disappointing.",2,NEGATIVE
"Average, acceptable naman.",3,NEUTRAL
Pangit talaga! Disappointing!,1,NEGATIVE
Terrible! Pangit talaga!,1,NEGATIVE
Pwede na.,3,NEUTRAL
It's alright.,3,NEUTRAL
Disappointing! Hindi recommended!,1,NEGATIVE
Sakto lang.,3,NEUTRAL
Nagsstop yung dragging nya sguro dahil wala akong mouse pad but everything else ok Maganda sha,3,NEUTRAL
"Pwede na, average lang.",3,NEUTRAL
"Napakahusay, salamat seller!",4,POSITIVE
nice nice nice....good and affordable price legit sya,5,POSITIVE
Underwhelming experience sadly,3,NEUTRAL
Hindi masyadong special.,3,NEUTRAL
"Okay naman, walang problema.",3,NEUTRAL
"Okay lang naman, nothing special.",3,NEUTRAL
"Average, as expected.",3,NEUTRAL
"Amazing, worth every peso!",4,POSITIVE
Normal quality.,3,NEUTRAL
Perfect! Thank you seller!,5,POSITIVE
